year,utility_number,utility_name,revenue_thousand_dollars,sales_mwh,customers
2020,3278.0,AEP Texas Central Company,906667.6,25990204.0,869874.0
2021,3278.0,AEP Texas Central Company,862848.0,26873174.0,881380.0
2022,3278.0,AEP Texas Central Company,1050210.0,29408622.0,891818.0
2023,3278.0,AEP Texas Central Company,1049708.5,30462365.0,906416.0
2024,3278.0,AEP Texas Central Company,1124620.9,31182483.0,916131.0
2020,8901.0,CenterPoint Energy,2424798.1,93767935.0,2588102.0
2021,8901.0,CenterPoint Energy,2432017.5,96898453.0,2651170.0
2022,8901.0,CenterPoint Energy,2846824.1,100062076.0,2703252.0
2023,8901.0,CenterPoint Energy,2963510.1,103861933.0,2753610.0
2024,8901.0,CenterPoint Energy,3195836.8,106013676.0,2811820.0
2020,13830.0,Nueces Electric Cooperative,7562.0,349377.0,2058.0
2021,13830.0,Nueces Electric Cooperative,9923.0,494605.0,1852.0
2022,13830.0,Nueces Electric Cooperative,7067.0,349837.0,1678.0
2023,13830.0,Nueces Electric Cooperative,6004.6,382846.0,1209.0
2024,13830.0,Nueces Electric Cooperative,6140.7,231992.0,1245.0
2020,20404.0,AEP Texas North Company,161836.5,6180385.0,194678.0
2021,20404.0,AEP Texas North Company,168837.3,6027780.0,196116.0
2022,20404.0,AEP Texas North Company,214609.1,7150790.0,197177.0
2023,20404.0,AEP Texas North Company,212473.3,9113807.0,198462.0
2024,20404.0,AEP Texas North Company,234064.4,10976863.0,200129.0
2020,40051.0,Texas-New Mexico Power Co,309529.4,11413876.0,258794.0
2021,40051.0,Texas-New Mexico Power Co,319563.2,11823412.0,263510.0
2022,40051.0,Texas-New Mexico Power Co,380404.0,13804492.0,267914.0
2023,40051.0,Texas-New Mexico Power Co,399535.0,15549316.0,272065.0
2024,40051.0,Texas-New Mexico Power Co,414995.0,17128817.0,277003.0
2020,44372.0,Oncor Electric Delivery Company LLC,3611537.1,130279887.0,3726473.0
2021,44372.0,Oncor Electric Delivery Company LLC,3773432.1,135522388.0,3802319.0
2022,44372.0,Oncor Electric Delivery Company LLC,4242383.3,148662784.0,3867910.0
2023,44372.0,Oncor Electric Delivery Company LLC,4489464.2,156150439.0,3936107.0
2024,44372.0,Oncor Electric Delivery Company LLC,4907350.6,162339107.0,4010973.0
